Thiết bị,Cổng giao tiếp,Địa chỉ IP,Subnet Mask
"West","e0/0","192.168.0.1","255.255.255.0"
"West","s1/0","10.0.0.1","255.255.255.0"
"West","e0/1","10.0.2.2","255.255.255.0"
"Central","e0/0","192.168.1.1","255.255.255.0"
"Central","s1/0","10.0.0.2","255.255.255.0"
"Central","s1/1","10.0.1.1","255.255.255.0"
"East","e0/0","192.168.2.1","255.255.255.0"
"East","s1/0","10.0.1.2","255.255.255.0"
"East","e0/1","10.0.2.1","255.255.255.0"
"PC_West","eth0","192.168.0.5","255.255.255.0"
"PC_Central","eth0","192.168.1.5","255.255.255.0"
"PC_East","eth0","192.168.2.5","255.255.255.0"
