Thiết bị,Cổng giao tiếp,Địa chỉ IP,Subnet Mask
"R1","e0/0","192.168.123.1","255.255.255.0"
"R1","s1/0","192.168.12.1","255.255.255.0"
"R1","e0/1","192.168.1.1","255.255.255.0"
"R2","e0/0","192.168.123.2","255.255.255.0"
"R2","s1/0","192.168.12.2","255.255.255.0"
"R2","e0/1","192.168.2.1","255.255.255.0"
"R3","e0/2","192.168.123.3","255.255.255.0"
"R3","e0/0","100.100.100.1","255.255.255.252"
"R3","e0/1","192.168.3.1","255.255.255.0"
"R4","e0/1","100.100.100.2","255.255.255.252"
"R4","e0/0","DHCP","N/A"
"VPC7","eth0","DHCP","N/A"
"VPC6","eth0","DHCP","N/A"
"VPC9","eth0","192.168.3.10","255.255.255.0"
