Thiết bị,Cổng giao tiếp,Địa chỉ IP,Subnet Mask
"R1","s1/0","10.10.10.1","255.255.255.0"
"R2","s1/0","10.10.10.2","255.255.255.0"
"R2","e0/0","172.16.0.1","255.255.255.0"
"PC7","eth0","172.16.0.7","255.255.255.0"
"VPC2_1","eth0","192.168.2.2","255.255.255.0"
"VPC3_1","eth0","192.168.3.3","255.255.255.0"
"VPC4_1","eth0","192.168.4.4","255.255.255.0"
"VPC5_1","eth0","192.168.5.5","255.255.255.0"
"VPC2_2","eth0","192.168.2.12","255.255.255.0"
"VPC3_2","eth0","192.168.3.13","255.255.255.0"
"VPC4_2","eth0","192.168.4.14","255.255.255.0"
"VPC5_2","eth0","192.168.5.15","255.255.255.0"
